                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.78707,                0.68265,                 1.0064,                0.93007,                 0.8114,                0.89232,                0.74131,                0.71058,                0.51656,                0.91808,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                0.81528,                0.67339,                 1.0139,                 0.9299,                0.81251,                0.89267,                0.73983,                0.70748,                0.51586,                0.91726,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                0.82113,                0.68279,                 1.0322,                0.92271,                0.81367,                0.89283,                0.74088,                0.70578,                0.51593,                0.91678,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                0.88428,                  0.792,                 1.0322,                0.92561,                0.81305,                0.89395,                0.74164,                0.71133,                0.52199,                0.91718,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                0.87879,                0.73215,                 1.0144,                0.92871,                0.80914,                0.89336,                0.73836,                0.71564,                0.52559,                 0.9178,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                0.88255,                0.71515,                   1.01,                0.92692,                0.80553,                0.89201,                0.73684,                0.72061,                0.52944,                0.91945,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                0.85652,                0.70126,                0.99798,                0.91901,                0.80902,                0.89187,                0.73704,                0.72541,                0.53545,                0.92146,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                0.86517,                  0.738,                 1.0148,                0.89471,                0.82547,                0.89065,                0.73368,                0.72948,                0.53836,                  0.923,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                 0.8346,                0.67553,                 1.0136,                 0.9047,                0.81353,                 0.8882,                0.73229,                0.73204,                0.53985,                0.92375,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                0.84694,                 0.6983,                0.99145,                0.90755,                0.80835,                0.88659,                0.72878,                 0.7376,                0.54475,                0.92523,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                0.82069,                0.65856,                  1.003,                0.90328,                 0.8114,                0.88634,                0.72988,                0.73738,                0.54569,                0.92531,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                0.81056,                0.66421,                0.97763,                0.91012,                0.80779,                0.88718,                 0.7299,                0.73909,                0.54755,                0.92557,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                0.78451,                0.65981,                 1.0015,                0.91086,                0.80897,                0.88709,                0.73022,                0.73782,                0.54707,                0.92556,             3.5462e-06,             3.5462e-06,             3.5462e-06
